Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Croatia,"19,891.83","19,878.75","22,808.63","20,101.17","20,940.03","22,760.91","21,022.38","21,694.70","25,836.87","30,171.02"
Cuba,"7,287.51","8,666.72","9,991.97","10,372.84","11,095.77","9,297.73","8,483.31","7,724.42","7,708.27","7,719.37"
Curacao,1.15,6.31,214.55,112.84,193.74,608.17,602.79,731.37,"1,190.27","1,778.81"
Cyprus,"13,115.72","13,996.75","15,074.88","14,625.26","13,814.44","11,722.08","9,116.04","8,886.48","11,176.52","14,040.82"
Czech Republic,"98,888.23","118,630.39","141,334.03","133,536.16","137,728.10","146,701.95","132,665.89","135,767.89","153,404.13","174,610.61"
Czechoslovakia,0,47.4,44.54,30,28.46,26.92,23.59,0,0,0
Denmark,"78,192.01","83,398.59","97,001.61","93,338.24","96,584.92","101,969.59","86,876.36","85,964.55","96,156.67","106,305.83"
Djibouti,"2,627.05","3,065.49","4,178.47","4,890.78","4,679.00","4,750.82","4,935.21","5,082.97","5,345.58","5,138.20"
Dominica,345.02,490.74,433.51,433.28,409.83,459.31,456.66,470.57,597.18,771.07
Dominican Republic,"10,746.43","13,782.43","15,476.06","14,842.00","14,668.22","15,657.12","15,086.39","16,078.29","16,312.74","18,493.20"
Ecuador,"13,238.72","17,832.59","20,535.96","21,773.67","22,944.92","23,551.88","18,398.19","14,454.21","18,241.04","21,229.07"
Egypt,"51,603.42","62,704.36","68,987.18","74,163.15","70,360.70","83,141.37","74,943.69","72,268.71","75,261.42","80,567.57"
El Salvador,"5,495.47","6,706.07","8,699.51","9,295.64","8,590.23","8,476.83","8,413.10","7,995.26","8,336.78","9,646.07"
Equatorial Guinea,"1,942.62","2,441.03","2,496.36","2,326.97","3,150.41","2,515.84","1,694.71","1,152.76",837.58,"1,026.34"
Eritrea,346.05,468.68,519.37,496.54,530.62,370.12,407.86,246.6,263.62,381.21
Estonia,"10,913.49","13,996.51","20,612.76","23,009.62","22,811.27","22,135.31","17,204.75","17,596.38","19,198.23","21,132.73"
"Eswatini, Kingdom of",274.71,"2,098.83","1,917.34","1,782.75","1,728.31","1,803.84","1,626.12","1,500.08","1,677.06","2,015.23"
Ethiopia,"4,469.85","5,232.86","5,864.43","8,007.92","7,926.96","10,583.74","11,468.54","10,843.08","10,806.88","10,774.47"
Falkland Islands,57.95,109.37,189.21,132.99,131.95,195.4,253.22,84.82,117.15,131.42
Faroe Islands,640.93,711.24,860.33,"1,036.20","1,035.66","1,017.55",963.63,922.76,970.83,"1,110.87"
Fiji,"1,232.67","1,452.11","1,884.01","1,965.12","2,410.64","2,230.28","2,035.59","2,026.43","2,112.08","2,480.82"
Finland,"63,254.97","73,735.64","86,614.41","82,459.21","82,294.26","80,920.22","62,850.09","61,931.60","70,063.14","77,586.88"
France,"573,073.80","626,553.89","732,231.87","682,670.42","689,777.95","681,883.68","583,806.43","581,626.98","634,305.83","691,139.64"
French Polynesia,"1,449.31","1,527.32","1,746.44","1,630.25","1,568.52","1,628.98","1,344.52","1,381.72","1,471.64","1,757.80"
Gabon,"2,467.79","2,881.34","3,698.39","3,644.68","4,756.31","4,286.95","3,025.27","2,228.26","2,189.28","2,368.00"
"Gambia, The",749.08,760.1,"1,055.21",938.26,"1,021.34","1,115.74",953.19,944.94,"1,207.08","1,248.20"
Georgia,"4,727.95","5,620.66","8,206.52","9,044.13","9,427.08","9,471.48","7,373.78","7,600.45","8,341.31","9,446.31"
Germany,"885,405.71","1,014,383.57","1,186,211.12","1,132,951.33","1,149,508.86","1,185,958.30","1,040,611.38","1,038,938.37","1,143,412.84","1,261,475.55"
Ghana,"9,204.13","12,029.58","16,770.13","20,633.73","18,739.34","17,011.68","16,081.75","15,202.84","15,810.66","16,298.78"
Gibraltar,"7,627.15","10,257.88","15,901.02","18,398.51","17,599.34","13,822.71","9,123.56","7,935.86","8,587.80","9,706.84"
Greece,"66,655.65","59,927.61","63,313.84","59,122.19","58,542.63","60,158.79","47,566.94","49,088.21","55,628.73","65,613.14"
Greenland,683.6,867.68,987.82,850.29,859.1,852.81,653.47,734.23,734.98,814.23
Grenada,206.78,214.08,227.66,227.07,263.12,280.42,256.78,204.73,230.2,275.41
Guam,842.99,931.16,"1,080.61","1,167.60",917.66,"1,170.92",798.4,769.4,"1,010.59","1,550.54"
Guatemala,"9,632.05","11,388.18","14,691.14","14,507.39","14,609.43","14,924.81","15,104.89","14,580.64","16,172.28","16,769.36"
Guinea,"2,059.89","2,123.61","3,158.62","3,427.87","3,922.58","3,801.53","3,523.66","3,580.44","4,074.36","4,327.15"
Guinea-Bissau,275.92,224.61,303.3,296.15,303.31,390.9,257.38,354.37,316.13,303.8
Guyana,874.56,"1,234.82","1,534.01","1,352.40","1,570.49","1,531.86","1,353.85","1,181.36","1,129.74","1,440.04"
Haiti,"2,331.53","3,700.26","4,059.92","3,831.93","4,111.93","4,162.38","4,068.86","3,721.49","4,462.80","4,649.80"
Honduras,"6,588.73","8,481.12","10,993.24","11,275.50","10,529.79","11,009.28","10,519.34","9,862.13","10,458.82","11,364.69"
Hungary,"71,246.42","83,038.25","96,970.24","90,560.35","96,384.06","102,346.20","91,251.68","93,221.37","104,498.28","117,693.82"
Iceland,"3,358.90","4,463.68","5,757.16","4,925.50","4,372.66","4,667.25","4,602.74","5,714.45","6,486.23","6,927.60"
India,"259,589.70","355,036.64","444,302.29","486,774.63","459,687.15","454,811.06","379,824.47","349,921.69","425,561.55","489,292.79"
Indonesia,"103,838.30","143,730.04","184,851.51","203,625.69","198,514.56","189,734.12","150,044.83","140,676.19","150,615.48","181,813.18"
"Iran, I.R. of","59,722.24","76,398.58","74,909.39","68,842.35","57,426.85","63,145.43","49,868.20","52,969.90","60,237.68","52,662.22"
Iraq,"21,570.04","24,510.12","31,026.55","36,030.93","40,372.03","40,149.04","34,310.35","28,727.08","32,543.23","33,952.02"
Ireland,"62,214.38","64,055.62","69,289.99","67,507.33","73,234.16","77,126.67","71,605.44","71,046.01","77,199.41","90,250.84"
Israel,"44,809.85","56,814.97","68,589.32","68,503.76","68,203.73","71,910.88","64,312.53","67,268.19","69,048.06","74,469.41"
Italy,"412,541.05","487,062.71","553,743.07","493,743.29","494,634.43","497,738.20","419,101.48","414,719.93","461,085.06","521,069.41"
Jamaica,"4,016.43","4,634.17","5,497.06","5,982.10","5,894.48","5,345.63","4,184.01","4,112.92","4,857.12","5,647.02"
Japan,"494,334.19","629,658.52","781,902.93","812,429.50","785,453.13","761,596.04","604,463.00","562,860.38","614,446.54","687,197.43"
Jordan,"15,607.47","17,136.37","21,290.87","23,555.70","25,483.08","25,519.01","20,594.99","18,560.92","20,071.98","20,028.79"
Kazakhstan,"29,890.80","27,468.97","32,529.48","44,748.47","49,755.30","43,897.91","31,336.51","28,886.76","35,357.11","37,832.73"
Kenya,"11,864.92","14,464.27","18,265.47","20,899.61","21,038.20","24,592.82","21,072.27","18,115.60","18,513.57","20,776.36"
Kiribati,53.9,98.44,142.15,156.32,181.95,181.06,181.85,136.65,123.22,105.02
"Korea, Republic of","307,516.66","407,095.13","503,270.43","513,805.02","506,654.65","512,922.08","443,439.98","414,466.40","471,282.60","518,623.14"
"Kosovo, Republic of","2,321.08","2,327.89","2,778.80","2,120.55","2,143.54","2,138.79","1,795.59","1,957.98","2,202.94","2,439.31"
Kuwait,"17,823.98","21,945.40","27,032.77","27,177.02","28,936.02","31,319.05","28,407.01","26,893.83","29,948.23","28,291.80"
Kyrgyz Republic,"7,549.18","6,534.78","8,262.82","9,158.20","9,589.70","9,467.72","7,186.34","8,170.48","8,781.77","9,182.65"
Lao People's Dem.Rep,"2,597.37","3,253.49","4,171.57","5,763.67","6,633.00","7,239.11","6,818.52","6,040.89","6,521.74","6,895.85"
Latvia,"14,412.46","17,826.48","25,823.26","29,088.54","29,412.41","32,029.38","22,734.73","20,170.11","22,042.12","23,715.18"
Lebanon,"14,197.24","16,656.58","18,972.39","20,267.90","20,366.31","20,199.81","17,901.83","17,758.60","18,878.15","18,950.22"
Lesotho,262.67,"1,606.39","1,839.99","1,868.02","1,690.43","1,571.04","1,415.45","1,356.69","1,547.87","1,502.43"
Liberia,"11,803.22","16,553.48","18,197.41","14,814.29","13,570.47","11,821.26","8,630.79","10,026.79","8,633.27","10,013.64"
Libya,"19,592.14","20,737.01","7,450.59","20,006.79","24,388.67","17,372.71","11,475.84","9,089.29","8,540.94","12,029.51"
Lithuania,"15,621.90","18,457.06","28,350.35","28,566.85","31,502.87","30,254.25","25,063.93","25,384.12","29,837.49","34,300.12"
Luxembourg,"24,093.39","25,967.94","30,310.43","28,023.65","28,172.58","28,630.41","23,730.72","22,370.56","24,454.85","27,912.36"
Madagascar,"2,913.60","2,502.54","3,285.75","3,406.63","3,790.33","3,943.78","3,346.37","3,208.09","3,743.38","3,721.64"
Malawi,"1,236.62","1,347.86","1,452.07","1,762.64","1,944.32","1,652.97","1,599.19","1,594.38","1,780.77","1,804.97"
Malaysia,"132,932.78","174,778.29","202,184.69","216,205.80","228,239.47","225,920.24","190,308.81","173,165.25","202,074.27","221,597.32"
Maldives,936.58,"1,123.85","1,376.15","1,446.30","1,521.37","1,742.40","1,560.09","1,845.55","2,028.32","2,446.07"
Mali,"1,986.82","2,430.12","2,704.86","2,697.69","3,217.76","3,503.57","3,297.16","3,646.12","3,450.46","3,507.45"
Malta,"11,359.81","13,536.50","17,411.39","16,768.47","17,799.12","19,477.57","18,023.49","13,779.69","15,948.61","18,839.79"
Marshall Islands,331.47,656.23,464.33,431.73,637.07,"1,596.26","1,565.30","4,382.51","13,824.63","12,584.95"
Mauritania,"1,771.88","2,310.55","3,593.86","4,107.65","4,276.58","3,807.24","2,852.12","2,907.13","3,243.08","3,489.68"
Mauritius,"3,319.59","3,967.89","5,438.64","5,245.40","4,709.92","5,474.47","4,616.53","4,260.05","4,701.57","4,975.02"
Mexico,"200,034.59","256,145.66","309,432.98","331,184.18","343,831.56","368,916.22","365,716.46","359,857.41","386,065.25","422,683.65"
Micronesia,592.85,716.44,955.3,574.64,512.44,478.31,352.33,529.3,606.91,436.1
Moldova,"3,375.36","3,697.54","4,647.17","5,921.51","6,314.76","6,349.88","4,469.99","4,271.53","5,036.33","6,002.15"
Mongolia,"2,408.32","3,478.52","6,362.64","7,121.26","6,267.39","5,334.98","3,912.79","3,116.33","4,171.15","5,189.24"
Montenegro,"2,285.63","2,298.50","2,574.51","2,465.17","2,600.26","2,694.31","2,169.75","2,386.80","2,327.93","2,274.54"
Montserrat,27.8,4.56,7.2,5.77,19.06,17.06,9.34,29.93,16.78,32.88
Morocco,"27,163.55","30,604.70","38,252.97","38,559.13","39,468.71","39,914.07","33,061.30","36,749.11","39,714.51","44,386.55"
Mozambique,"4,811.03","5,816.29","8,394.76","8,861.25","12,231.09","13,230.44","10,289.65","8,141.98","9,495.24","11,261.49"
Myanmar,"6,442.20","9,055.51","12,539.52","15,560.86","18,678.96","22,287.91","22,308.88","22,052.47","24,483.31","29,245.49"
Namibia,"1,524.64","5,391.77","6,245.15","6,577.34","7,327.42","7,902.39","7,278.29","6,407.69","5,516.69","6,959.31"
Nauru,102.63,22.85,39.2,48.82,155.24,138.71,82.79,48.1,48.07,94.06
Nepal,"2,457.34","3,456.41","4,916.83","6,143.60","6,859.82","8,068.64","5,512.21","6,587.38","8,044.92","10,133.33"
Netherlands,"462,273.58","549,108.79","650,702.51","650,804.82","642,989.11","646,406.03","529,576.63","505,523.69","574,712.33","666,574.75"
Netherlands Antilles,"9,021.52","8,193.11","4,705.64","4,466.83","3,456.35","9,509.61","5,167.71","4,044.56","3,076.41","3,273.84"
New Caledonia,"2,093.71","2,937.19","3,106.12","2,776.48","2,612.80","2,807.80","2,296.82","2,042.87","2,165.66","2,395.30"
New Zealand,"22,571.29","27,726.24","33,108.38","33,540.39","34,866.00","38,445.66","32,718.55","32,104.76","36,149.60","40,763.50"
Nicaragua,"3,149.18","4,112.44","5,156.21","5,761.28","5,672.89","5,761.18","6,026.59","6,096.16","6,171.34","5,564.54"
Niger,"1,277.94","1,238.08","1,216.23","1,242.83","1,404.52","1,665.18","1,321.54",976.94,"1,149.43","1,221.65"
Nigeria,"33,092.78","36,993.48","49,249.80","44,397.94","49,753.22","53,315.99","41,470.48","32,097.30","37,875.19","43,549.64"
North Korea,"3,025.84","3,649.44","3,893.16","4,263.28","4,376.27","4,064.51","3,504.45","3,488.73","3,572.29","2,649.78"
"North Macedonia, Republic of","4,148.54","4,591.55","5,683.51","5,585.53","5,843.64","6,548.21","5,903.83","6,261.60","7,202.37","8,314.72"
Norway,"67,918.19","74,348.31","86,237.79","83,847.80","87,540.63","87,118.37","74,632.09","73,118.55","78,183.79","83,775.88"
Oman,"17,051.63","20,879.72","24,926.65","30,517.43","34,225.72","33,252.79","33,631.43","31,654.68","35,208.23","37,926.13"
Pakistan,"32,357.68","39,907.85","47,524.66","48,548.70","50,402.61","52,607.15","49,947.92","52,676.73","60,508.21","62,686.99"
Palau,25.75,35.52,49.47,30.56,75.73,56.76,82.49,140.87,108.04,125.03
Panama,"43,905.80","56,435.21","64,719.09","70,239.14","64,680.00","53,825.01","40,600.84","35,273.82","38,850.72","44,789.74"
Papua New Guinea,"3,457.20","4,567.50","6,416.89","8,111.90","6,254.23","5,583.70","5,004.09","4,429.96","4,556.45","4,761.72"
Paraguay,"5,615.14","8,620.15","10,261.66","9,564.23","10,189.03","10,576.88","8,675.65","8,534.88","10,628.77","10,892.55"
